Kode,village,longitude,latitude,EC,TDS,F,NO3,pH
338,Pangal,78.10448,16.24721,1059,677.76,1.45,420.755,7.9
339,Ayyavaripalli,78.0236,16.1156,3040,1945.6,0.11,5660.262,7.16
340,Peddamandadi,78.0251,16.4306,1083,693.12,0.83,952.235,7.76
341,Atmakur,79.738,18.0686,3980,2547.2,0.69,3042.723,8.2
342,Chennaraopet,79.8722,17.883,3140,2009.6,1,1864.609,8.26
343,Duggondi,79.8077,18.0194,640,409.6,1.1,1430.567,8.27
344,Khanapur,79.93,17.8988,1282,820.48,1.38,868.084,8.23
345,Narasampet,79.8875,17.9227,442,282.88,1.04,438.471,8.3
346,Ameenpet,79.8003,17.8081,1447,926.08,2.89,97.438,8.22
347,Parkal,79.6374,18.2016,838,536.32,1.87,4424.571,8.29
348,Parvathagiri,79.72399,17.74447,1044,668.16,0.99,1864.609,8.21
349,Rayaparthy,79.5473,17.6942,1135,726.4,1.01,4282.843,8.24
350,Sangem,79.7113,17.8844,792,506.88,0.55,2905.424,8.05
351,Wardhannapet,79.5794,17.773,1198,766.72,0.78,434.042,8.28
352,Vangara,79.345,18.13389,536,343.04,1.62,4322.704,7.99
353,Narayanagiri,79.3769,17.9905,2150,1376,2.52,460.616,7.76
354,Hanumkonda,79.5577,18.0008,420,268.8,0.42,146.157,7.59
355,Mamnoor,79.5969,17.9069,769,492.16,0.85,1891.183,8.32
356,Seethampet,79.5153,18.0776,1030,659.2,2.44,593.486,7.48
357,Shanigaram,79.59719,18.18408,1320,844.8,1.07,3401.472,7.68
358,Charbowli,79.607,17.9819,430,275.2,0.42,150.586,8.29
359,Kolanpaka,79.0196,17.69706,1611,1031.04,1.98,1565.652,8.61
360,B.Pochampalli,78.81077,17.3362,2210,1414.4,1.46,3091.442,8.03
361,Bibinagar,78.8016,17.46034,2190,1401.6,1.36,4632.734,7.61
362,D.Malkapur,78.80322,17.25826,1628,1041.92,2.77,1714.023,8.21
363,Kanchanapalli,79.33964,17.40375,357,228.48,908,66.435,8.38
364,Bondugala,78.9665,17.76831,1175,752,2.11,252.453,8.1
365,Kurraram,78.92987,17.77549,825,528,482,6975.675,8.04
366,Rajapet,78.93297,17.72943,1974,1263.36,809,4090.182,7.84
367,Somaram,78.99179,17.72567,474,303.36,2.09,2730.479,8.77
368,Ramanapet,79.09509,17.28312,2440,1561.6,2.26,1348.631,8.16
369,S.Narayanpur,78.86001,17.14472,2050,1312,739,4743.459,8.02
370,Gandamalla,78.85383,17.7331,1461,935.04,865,9145.885,8.08
371,T. somaram,78.95229,17.39995,902,577.28,866,589.057,8.62
372,Vemulakonda,79.14343,17.34778,4710,3014.4,564,3211.025,7.66
373,,,,,,,,
